Group,Common Name,Species Code,Call,Reference,Granularity,BinSize_m,Notes,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Var17
,Sperm Whale,Pm,Slow Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Sperm Whale,Pm,Codas,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Sperm Whale,Pm,Squeals,,,,,dominant sideband,min harmonic,max harmonic,,,,,,
,,,,,,,,,,,,,,,,
,Pygmy Sperm Whale,Kb,Clicks,,,,,,,,,,,,,
,Pygmy Sperm Whale,Kb,Buzzes,,,,,,,,,,,,,
,Pygmy Sperm Whale,Kb,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Dwarf Sperm Whale,Ks,Clicks,,,,,,,,,,,,,
,Dwarf Sperm Whale,Ks,Buzzes,,,,,,,,,,,,,
,Dwarf Sperm Whale,Ks,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Kogia spp.,Kspp,Clicks,,,,,,,,,,,,,
,Kogia spp.,Kspp,Buzzes,,,,,,,,,,,,,
,Kogia spp.,Kspp,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Striped Dolphin,Sc,Clicks,,,,,,,,,,,,,
,Striped Dolphin,Sc,Buzzes,,,,,,,,,,,,,
,Striped Dolphin,Sc,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Unidentified Odontocete,UO,Clicks/>20kHz,,,,,Min_Hz,Max_Hz,peak 1 (low),peak 2,peak 3,peak 4 (high),,,
,Unidentified Odontocete,UO,Clicks/<20kHz,,,,,Min_Hz,Max_Hz,peak 1 (low),peak 2,peak 3,peak 4 (high),,,
,Unidentified Odontocete,UO,Clicks/50kHz,,,,,Min_Hz,Max_Hz,peak 1 (low),peak 2,peak 3,peak 4 (high),,,
,Unidentified Odontocete,UO,Buzzes,,,,,,,,,,,,,
,Unidentified Odontocete,UO,Whistles/>10kHz,,,,,,,,,,,,,
,Unidentified Odontocete,UO,Whistles/<10kHz,,,,,,,,,,,,,
,Unidentified Odontocete,UO,Whistles/<5kHz,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Beaked Whales,Baird's Beaked Whale,Bb1,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Baird's Beaked Whale,Bb1,Buzzes,,,,,,,,,,,,,
,Baird's Beaked Whale,Bb1,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Blainville's Beaked Whale,Md,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Blainville's Beaked Whale,Md,Buzzes,,,,,,,,,,,,,
,Blainville's Beaked Whale,Md,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Cross Beaked Whale,BWC,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Cross Beaked Whale,BWC,Buzzes,,,,,,,,,,,,,
,Cross Beaked Whale,BWC,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Cuvier's Beaked Whale,Zc,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Cuvier's Beaked Whale,Zc,Buzzes,,,,,,,,,,,,,
,Cuvier's Beaked Whale,Zc,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Gervais' Beaked Whale,Me,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Gervais' Beaked Whale,Me,Buzzes,,,,,,,,,,,,,
,Gervais' Beaked Whale,Me,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Longman's Beaked Whale,Ip,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Longman's Beaked Whale,Ip,Buzzes,,,,,,,,,,,,,
,Longman's Beaked Whale,Ip,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Palmyra Beaked Whale,BWP,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Palmyra Beaked Whale,BWP,Buzzes,,,,,,,,,,,,,
,Palmyra Beaked Whale,BWP,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Stejneger's Beaked Whale,Ms,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Stejneger's Beaked Whale,Ms,Buzzes,,,,,,,,,,,,,
,Stejneger's Beaked Whale,Ms,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,40 kHz Beaked Whale,BW40,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,40 kHz Beaked Whale,BW40,Buzzes,,,,,,,,,,,,,
,40 kHz Beaked Whale,BW40,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,43 kHz Beaked Whale,BW43,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,43 kHz Beaked Whale,BW43,Buzzes,,,,,,,,,,,,,
,43 kHz Beaked Whale,BW43,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,50 kHz Beaked Whale,BW50,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,50 kHz Beaked Whale,BW50,Buzzes,,,,,,,,,,,,,
,50 kHz Beaked Whale,BW50,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,53 kHz Beaked Whale,BW53,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,53 kHz Beaked Whale,BW53,Buzzes,,,,,,,,,,,,,
,53 kHz Beaked Whale,BW53,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,65 kHz Beaked Whale,BW65,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
